# ori,sf,tf,onset,offset
0.000000000000000000e+00,2.567394094993581330e-02,5.000000000000000000e-01,9.400000635650940239e-06,2.021532000000661355e+00
0.000000000000000000e+00,2.567394094993581330e-02,2.000000000000000000e+00,2.538419500000600237e+00,4.569669800001065596e+00
1.200000000000000000e+02,2.567394094993581330e-02,5.000000000000000000e-01,5.087769499999922118e+00,7.119761699999799021e+00
1.200000000000000000e+02,2.567394094993581330e-02,2.000000000000000000e+00,7.637708500000371714e+00,9.670081000000209315e+00
2.400000000000000000e+02,2.567394094993581330e-02,5.000000000000000000e-01,1.018787330000122893e+01,1.222072939999998198e+01
2.400000000000000000e+02,2.567394094993581330e-02,2.000000000000000000e+00,1.273725209999975050e+01,1.476966650000031223e+01
